LAST SEEN   TYPE      REASON                  OBJECT                                               MESSAGE
2m49s       Normal    WaitForFirstConsumer    persistentvolumeclaim/lifecycle-edgelab-hub-state    waiting for first consumer to be created before binding
2m49s       Normal    ScalingReplicaSet       deployment/lifecycle-edgelab-hub                     Scaled up replica set lifecycle-edgelab-hub-b54c5896b from 0 to 1
2m49s       Normal    SuccessfulCreate        replicaset/lifecycle-edgelab-hub-b54c5896b           Created pod: lifecycle-edgelab-hub-b54c5896b-lfll4
2m49s       Normal    Provisioning            persistentvolumeclaim/lifecycle-edgelab-hub-state    External provisioner is provisioning volume for claim "lifecycle/lifecycle-edgelab-hub-state"
2m49s       Normal    WaitForFirstConsumer    persistentvolumeclaim/lifecycle-edgelab-hub-origin   waiting for first consumer to be created before binding
2m49s       Normal    ExternalProvisioning    persistentvolumeclaim/lifecycle-edgelab-hub-state    Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
2m45s       Normal    ProvisioningSucceeded   persistentvolumeclaim/lifecycle-edgelab-hub-state    Successfully provisioned volume pvc-348b9729-2bbc-4b39-8235-6235c1fb3503
83s         Warning   FailedScheduling        pod/lifecycle-edgelab-hub-b54c5896b-lfll4            running PreBind plugin "VolumeBinding": binding volumes: pod does not exist any more: pod "lifecycle-edgelab-hub-b54c5896b-lfll4" not found
83s         Normal    ExternalProvisioning    persistentvolumeclaim/lifecycle-edgelab-hub-origin   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
83s         Normal    Provisioning            persistentvolumeclaim/lifecycle-edgelab-hub-origin   External provisioner is provisioning volume for claim "lifecycle/lifecycle-edgelab-hub-origin"
83s         Warning   ProvisioningFailed      persistentvolumeclaim/lifecycle-edgelab-hub-origin   failed to provision volume with StorageClass "standard": NodePath only supports ReadWriteOnce and ReadWriteOncePod (1.22+) access modes
61s         Normal    Provisioning            persistentvolumeclaim/lifecycle-edgelab-hub-origin   External provisioner is provisioning volume for claim "lifecycle/lifecycle-edgelab-hub-origin"
61s         Normal    ExternalProvisioning    persistentvolumeclaim/lifecycle-edgelab-hub-origin   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
61s         Normal    WaitForFirstConsumer    persistentvolumeclaim/lifecycle-edgelab-hub-origin   waiting for first consumer to be created before binding
61s         Normal    SuccessfulCreate        replicaset/lifecycle-edgelab-hub-b54c5896b           Created pod: lifecycle-edgelab-hub-b54c5896b-gd7ck
61s         Normal    WaitForFirstConsumer    persistentvolumeclaim/lifecycle-edgelab-hub-state    waiting for first consumer to be created before binding
61s         Normal    ExternalProvisioning    persistentvolumeclaim/lifecycle-edgelab-hub-state    Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
61s         Normal    Provisioning            persistentvolumeclaim/lifecycle-edgelab-hub-state    External provisioner is provisioning volume for claim "lifecycle/lifecycle-edgelab-hub-state"
61s         Normal    ScalingReplicaSet       deployment/lifecycle-edgelab-hub                     Scaled up replica set lifecycle-edgelab-hub-b54c5896b from 0 to 1
57s         Normal    Scheduled               pod/lifecycle-edgelab-hub-b54c5896b-gd7ck            Successfully assigned lifecycle/lifecycle-edgelab-hub-b54c5896b-gd7ck to edgelab-helm-lifecycle-control-plane
57s         Normal    ProvisioningSucceeded   persistentvolumeclaim/lifecycle-edgelab-hub-origin   Successfully provisioned volume pvc-498aacb5-94ab-43bb-8379-7782c92ca72a
57s         Normal    ProvisioningSucceeded   persistentvolumeclaim/lifecycle-edgelab-hub-state    Successfully provisioned volume pvc-dfb97b77-0d5d-4190-ac95-5ac7fcbf8c4b
6s          Warning   Failed                  pod/lifecycle-edgelab-hub-b54c5896b-gd7ck            Error: container has runAsNonRoot and image has non-numeric user (edgelab), cannot verify user is non-root (pod: "lifecycle-edgelab-hub-b54c5896b-gd7ck_lifecycle(55118dbd-b4d0-4b6b-830b-2d7a719ea022)", container: hub)
6s          Normal    Pulled                  pod/lifecycle-edgelab-hub-b54c5896b-gd7ck            Container image "edgelab-kind-lifecycle:cf508ac" already present on machine and can be accessed by the pod
