observed_unix_seconds,origin,reachable,chunk_body_bytes,metadata_body_bytes,chunk_requests,disconnects,http_503s,error
1789756356.514883,http://127.0.0.1:61619,1,0,0,0,0,1,
1789756356.818211,http://127.0.0.1:61619,1,0,0,0,0,1,
1789756357.095249,http://127.0.0.1:61619,1,0,0,0,0,1,
1789756357.372517,http://127.0.0.1:61619,1,0,0,0,0,1,
1789756357.649031,http://127.0.0.1:61619,1,0,61701,0,0,1,
1789756357.931961,http://127.0.0.1:61619,1,125512,61701,4,0,1,
1789756358.2095842,http://127.0.0.1:61619,1,244433,61701,6,0,1,
1789756358.511523,http://127.0.0.1:61619,1,295489,61701,10,1,1,
1789756358.7879481,http://127.0.0.1:61619,1,303681,61701,14,2,1,
1789756359.064269,http://127.0.0.1:61619,1,478971,61701,16,2,1,
1789756359.3439412,http://127.0.0.1:61619,1,594612,61701,21,2,1,
1789756359.622091,http://127.0.0.1:61619,1,747356,61701,23,3,1,
1789756359.931638,http://127.0.0.1:61619,1,919388,61701,27,3,1,
1789756360.207576,http://127.0.0.1:61619,1,1048870,61701,28,4,1,
1789756360.51958,http://127.0.0.1:61619,1,1213901,61701,33,4,1,
1789756360.8068879,http://127.0.0.1:61619,1,1391216,61701,35,5,1,
1789756361.0782132,http://127.0.0.1:61619,1,1565301,61701,37,5,1,
1789756361.358923,http://127.0.0.1:61619,1,1734244,61701,41,5,1,
1789756361.635113,http://127.0.0.1:61619,1,1902749,61701,45,6,1,
1789756361.9051101,http://127.0.0.1:61619,1,2074781,61701,46,6,1,
1789756362.182403,http://127.0.0.1:61619,1,2248293,61701,47,6,1,
1789756362.4576352,http://127.0.0.1:61619,1,2414412,61701,51,7,1,
1789756362.734148,http://127.0.0.1:61619,1,2591765,61701,54,7,1,
1789756363.009504,http://127.0.0.1:61619,1,2763515,61701,57,8,1,
1789756363.300003,http://127.0.0.1:61619,1,2945054,61701,61,8,1,
1789756363.5780659,http://127.0.0.1:61619,1,3122850,61701,63,9,1,
1789756363.8533251,http://127.0.0.1:61619,1,3291159,61701,67,9,1,
1789756364.133322,http://127.0.0.1:61619,1,3462545,61701,69,9,1,
1789756364.4222138,http://127.0.0.1:61619,1,3644061,61701,74,10,1,
1789756364.701393,http://127.0.0.1:61619,1,3811322,61701,76,10,1,
1789756364.974056,http://127.0.0.1:61619,1,3959219,61701,77,11,1,
1789756365.33308,http://127.0.0.1:61619,1,4137683,61701,82,11,1,
1789756365.6102788,http://127.0.0.1:61619,1,4307209,61701,82,11,1,
1789756365.907939,http://127.0.0.1:61619,1,4488377,61701,87,12,1,
1789756366.183295,http://127.0.0.1:61619,1,4655681,61701,89,12,1,
1789756366.5023308,http://127.0.0.1:61619,1,4859780,61701,92,13,1,
1789756366.7734919,http://127.0.0.1:61619,1,5027139,61701,94,13,1,
1789756367.070955,http://127.0.0.1:61619,1,5194322,61701,100,14,1,
1789756367.3457012,http://127.0.0.1:61619,1,5366354,61701,101,14,1,
1789756367.619272,http://127.0.0.1:61619,1,5536137,61701,102,14,1,
1789756367.892843,http://127.0.0.1:61619,1,5708169,61701,102,14,1,
1789756368.163769,http://127.0.0.1:61619,1,5874199,61701,104,14,1,
1789756368.4340632,http://127.0.0.1:61619,1,6042682,61701,104,14,1,
1789756368.713452,http://127.0.0.1:61619,1,6176906,61701,109,15,1,
1789756368.984442,http://127.0.0.1:61619,1,6350025,61701,112,16,1,
1789756369.263106,http://127.0.0.1:61619,1,6524457,61701,113,16,1,
1789756369.565321,http://127.0.0.1:61619,1,6706200,61701,118,16,1,
1789756369.842283,http://127.0.0.1:61619,1,6877181,61701,119,17,1,
1789756370.1188421,http://127.0.0.1:61619,1,7054001,61701,122,17,1,
1789756370.3885329,http://127.0.0.1:61619,1,7223172,61701,122,17,1,
1789756370.665292,http://127.0.0.1:61619,1,7391912,61701,125,17,1,
1789756370.980192,http://127.0.0.1:61619,1,7593172,61701,129,18,1,
1789756371.256031,http://127.0.0.1:61619,1,7767029,61701,130,18,1,
1789756371.539655,http://127.0.0.1:61619,1,7944848,61701,132,18,1,
1789756371.814829,http://127.0.0.1:61619,1,8116880,61701,132,18,1,
1789756372.089789,http://127.0.0.1:61619,1,8288960,61701,132,18,1,
1789756372.3726861,http://127.0.0.1:61619,1,8462898,61701,134,19,1,
1789756372.648931,http://127.0.0.1:61619,1,8628594,61701,138,19,1,
1789756372.971636,http://127.0.0.1:61619,1,8826316,61701,143,20,1,
1789756373.264781,http://127.0.0.1:61619,1,9009943,61701,146,20,1,
1789756373.534413,http://127.0.0.1:61619,1,9179069,61701,150,21,1,
1789756373.8176792,http://127.0.0.1:61619,1,9353092,61701,152,21,1,
1789756374.093344,http://127.0.0.1:61619,1,9525535,61701,155,22,1,
1789756374.399046,http://127.0.0.1:61619,1,9711532,61701,158,22,1,
1789756374.704368,http://127.0.0.1:61619,1,9899948,61701,160,22,1,
1789756374.993621,http://127.0.0.1:61619,1,10085958,61701,164,23,1,
1789756375.26406,http://127.0.0.1:61619,1,10255877,61701,166,23,1,
1789756375.539846,http://127.0.0.1:61619,1,10424488,61701,168,23,1,
1789756375.8132071,http://127.0.0.1:61619,1,10598937,61701,170,24,1,
1789756376.097712,http://127.0.0.1:61619,1,10774626,61701,174,24,1,
1789756376.37465,http://127.0.0.1:61619,1,10946658,61701,176,25,1,
1789756376.648431,http://127.0.0.1:61619,1,11116522,61701,178,25,1,
1789756376.942561,http://127.0.0.1:61619,1,11299615,61701,180,25,1,
1789756377.2109609,http://127.0.0.1:61619,1,11469235,61701,182,26,1,
1789756377.4891489,http://127.0.0.1:61619,1,11642843,61701,186,26,1,
1789756377.766069,http://127.0.0.1:61619,1,11819967,61701,189,26,1,
1789756378.0413241,http://127.0.0.1:61619,1,11991680,61701,191,27,1,
1789756378.3259861,http://127.0.0.1:61619,1,12169303,61701,194,27,1,
1789756378.596946,http://127.0.0.1:61619,1,12336375,61701,198,28,1,
1789756378.8728168,http://127.0.0.1:61619,1,12504196,61701,199,28,1,
1789756379.146764,http://127.0.0.1:61619,1,12680770,61701,200,28,1,
1789756379.4839838,http://127.0.0.1:61619,1,12879971,61701,204,29,1,
1789756379.759011,http://127.0.0.1:61619,1,13051264,61701,206,29,1,
1789756380.0275,http://127.0.0.1:61619,1,13220919,61701,207,29,1,
1789756380.315051,http://127.0.0.1:61619,1,13400974,61701,208,29,1,
1789756380.591088,http://127.0.0.1:61619,1,13573006,61701,208,29,1,
1789756380.865258,http://127.0.0.1:61619,1,13745038,61701,208,29,1,
1789756381.142095,http://127.0.0.1:61619,1,13920150,61701,209,29,1,
1789756381.425132,http://127.0.0.1:61619,1,14089290,61701,214,30,1,
1789756381.7001128,http://127.0.0.1:61619,1,14260913,61701,216,30,1,
1789756381.975859,http://127.0.0.1:61619,1,14431429,61701,219,31,1,
1789756382.246998,http://127.0.0.1:61619,1,14600637,61701,220,31,1,
1789756382.531687,http://127.0.0.1:61619,1,14774902,61701,222,31,1,
1789756382.824954,http://127.0.0.1:61619,1,14961479,61701,226,32,1,
1789756383.097891,http://127.0.0.1:61619,1,15130780,61701,226,32,1,
1789756383.4069319,http://127.0.0.1:61619,1,15320100,61701,231,33,1,
1789756383.6793978,http://127.0.0.1:61619,1,15492132,61701,232,33,1,
1789756383.958045,http://127.0.0.1:61619,1,15659677,61701,233,33,1,
1789756384.232314,http://127.0.0.1:61619,1,15834816,61701,236,33,1,
1789756384.507974,http://127.0.0.1:61619,1,16005485,61701,238,34,1,
1789756384.778375,http://127.0.0.1:61619,1,16130862,61701,241,34,1,
1789756385.0799491,http://127.0.0.1:61619,1,16319278,61701,243,34,1,
1789756385.3578172,http://127.0.0.1:61619,1,16491310,61701,243,34,1,
1789756385.632566,http://127.0.0.1:61619,1,16663342,61701,243,34,1,
1789756385.911556,http://127.0.0.1:61619,1,16843855,61701,245,35,1,
1789756386.1856792,http://127.0.0.1:61619,1,17015887,61701,246,35,1,
1789756386.4624739,http://127.0.0.1:61619,1,17183836,61701,248,35,1,
1789756386.7461288,http://127.0.0.1:61619,1,17362117,61701,251,35,1,
1789756387.023647,http://127.0.0.1:61619,1,17536353,61701,254,36,1,
1789756387.302251,http://127.0.0.1:61619,1,17701678,61701,256,36,1,
1789756387.5761092,http://127.0.0.1:61619,1,17849134,61701,261,37,1,
1789756387.849942,http://127.0.0.1:61619,1,17977434,61701,263,37,1,
1789756388.1412349,http://127.0.0.1:61619,1,18155191,61701,267,38,1,
1789756388.432377,http://127.0.0.1:61619,1,18339607,61701,270,38,1,
1789756388.707584,http://127.0.0.1:61619,1,18509460,61701,271,38,1,
1789756388.980408,http://127.0.0.1:61619,1,18683179,61701,272,38,1,
1789756389.25719,http://127.0.0.1:61619,1,18856799,61701,273,39,1,
1789756389.553427,http://127.0.0.1:61619,1,19040381,61701,276,39,1,
1789756389.849301,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756390.1445498,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756390.4236019,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756390.6999009,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756390.97661,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756391.250483,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756391.525509,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756391.8004942,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756392.089516,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756392.3679612,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756392.6454132,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756392.923284,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756393.20095,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756393.399599,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756393.478008,http://127.0.0.1:61619,1,19051572,61701,276,39,1,
1789756393.7540832,http://127.0.0.1:61619,1,19051572,124970,276,39,1,
1789756394.0342479,http://127.0.0.1:61619,1,19190836,124970,281,40,1,
1789756394.3066938,http://127.0.0.1:61619,1,19362812,124970,284,40,1,
1789756394.612681,http://127.0.0.1:61619,1,19520105,124970,291,41,1,
1789756394.890608,http://127.0.0.1:61619,1,19687980,124970,292,41,1,
1789756395.169461,http://127.0.0.1:61619,1,19868204,124970,292,41,1,
